What is the capital of France?,Paris,London,Berlin,Madrid,Paris
What is 2+2?,3,4,5,6,4
Who wrote 'Hamlet'?,Shakespeare,Dickens,Tolkien,Austen,Shakespeare
What is the boiling point of water?,90,100,110,120,100
What is the largest planet?,Earth,Venus,Jupiter,Mars,Jupiter
What is the chemical symbol for Gold?,Au,Ag,Fe,Cu,Au
Who painted the Mona Lisa?,Da Vinci,Picasso,Van Gogh,Rembrandt,Da Vinci
What is the fastest land animal?,Cheetah,Lion,Tiger,Leopard,Cheetah
What is the smallest prime number?,0,1,2,3,2
What is the square root of 16?,2,3,4,5,4
